198.6	1709574228389
201.6	1709574228408
204.0	1709574228426
208.8	1709574228449
211.2	1709574228467
213.6	1709574228485
216.0	1709574228503
217.8	1709574228521
217.8	1709574228537
217.8	1709574228550
217.8	1709574228564
217.8	1709574228577
217.8	1709574228591
217.2	1709574228604
216.6	1709574228618
215.4	1709574228632
214.2	1709574228645
211.8	1709574228659
209.4	1709574228672
205.8	1709574228686
202.2	1709574228700
196.2	1709574228713
190.8	1709574228727
184.8	1709574228740
179.4	1709574228754
174.0	1709574228768
168.6	1709574228781
162.0	1709574228795
156.6	1709574228809
150.6	1709574228822
144.6	1709574228836
139.8	1709574228850
134.4	1709574228863
129.6	1709574228877
123.6	1709574228890
117.6	1709574228904
111.6	1709574228917
105.6	1709574228931
100.2	1709574228945
95.4	1709574228958
91.2	1709574228972
87.6	1709574228985
84.6	1709574228999
81.0	1709574229013
78.0	1709574229026
75.0	1709574229040
72.0	1709574229053
67.8	1709574229070
65.4	1709574229083
63.0	1709574229097
61.2	1709574229111
59.4	1709574229124
56.4	1709574229138
56.4	1709574229152
55.8	1709574229166
55.2	1709574229180
55.2	1709574229193
54.6	1709574229207
55.2	1709574229221
55.8	1709574229234
57.0	1709574229248
59.4	1709574229262
61.2	1709574229276
64.2	1709574229290
67.2	1709574229303
70.8	1709574229317
75.0	1709574229331
78.6	1709574229345
83.4	1709574229359
87.6	1709574229373
91.8	1709574229388
96.6	1709574229402
101.4	1709574229416
105.6	1709574229430
109.8	1709574229444
113.4	1709574229458
117.6	1709574229471
121.8	1709574229485
126.6	1709574229499
130.8	1709574229514
135.0	1709574229528
139.2	1709574229543
141.6	1709574229557
142.8	1709574229571
143.4	1709574229585
143.4	1709574229598
143.4	1709574229612
142.8	1709574229626
142.2	1709574229640
140.4	1709574229654
138.6	1709574229668
136.2	1709574229681
132.6	1709574229695
129.0	1709574229709
124.2	1709574229722
119.4	1709574229736
114.0	1709574229750
107.4	1709574229763
101.4	1709574229777
94.8	1709574229791
88.8	1709574229804
82.8	1709574229818
78.0	1709574229831
74.4	1709574229845
70.8	1709574229859
69.0	1709574229873
67.8	1709574229886
67.8	1709574229900
68.4	1709574229914
70.2	1709574229927
73.8	1709574229941
78.0	1709574229954
83.4	1709574229968
88.2	1709574229981
93.6	1709574229995
98.4	1709574230009
103.2	1709574230023
108.0	1709574230036
114.0	1709574230050
119.4	1709574230063
124.8	1709574230077
130.2	1709574230091
133.8	1709574230105
136.8	1709574230118
138.0	1709574230132
138.6	1709574230146
138.6	1709574230160
137.4	1709574230173
135.6	1709574230187
132.6	1709574230200
129.6	1709574230214
126.0	1709574230228
122.4	1709574230241
119.4	1709574230255
117.0	1709574230270
116.4	1709574230292
115.2	1709574230306
115.2	1709574230319
115.2	1709574230333
114.6	1709574230346
114.6	1709574230361
